Subject,Stage1,Stage2,Event,Region,FrequencyBand,FreqRange_Hz,Mean_Stage1_dB,Mean_Stage2_dB,Direction,Z_Score,P_Value,Significant
108,middle,later,eye_open,Left_Temporal,theta,4-8Hz,15.5709575938027,13.6087538383373,Decrease,231,0.0206520548924176,1
108,early,middle,eye_open,Right_Temporal,theta,4-8Hz,15.4626225642462,15.3062316111961,Decrease,178,0.423710797166793,0
108,early,later,eye_open,Right_Temporal,theta,4-8Hz,15.4626225642462,13.830305120073,Decrease,222,0.0396724862659754,1
108,middle,later,eye_open,Right_Temporal,theta,4-8Hz,15.3062316111961,13.830305120073,Decrease,216,0.0593334667549941,0
108,early,middle,eye_open,Left_Parietal,theta,4-8Hz,15.7588405019792,15.5867827704064,Decrease,189,0.265156633625956,0
108,early,later,eye_open,Left_Parietal,theta,4-8Hz,15.7588405019792,13.6244748802168,Decrease,241,0.0093223760474375,1
108,middle,later,eye_open,Left_Parietal,theta,4-8Hz,15.5867827704064,13.6244748802168,Decrease,228,0.0258424338448698,1
108,early,middle,eye_open,Right_Parietal,theta,4-8Hz,15.4728246224775,15.3491691369568,Decrease,175,0.475050524053953,0
108,early,later,eye_open,Right_Parietal,theta,4-8Hz,15.4728246224775,13.7780578145458,Decrease,224,0.0344908717639674,1
108,middle,later,eye_open,Right_Parietal,theta,4-8Hz,15.3491691369568,13.7780578145458,Decrease,218,0.0520334213607994,0
108,early,middle,eye_open,Left_Occipital,theta,4-8Hz,15.6876855194446,15.5144322913281,Decrease,179,0.407346960940474,0
108,early,later,eye_open,Left_Occipital,theta,4-8Hz,15.6876855194446,13.675244840213,Decrease,233,0.0177194712911814,1
108,middle,later,eye_open,Left_Occipital,theta,4-8Hz,15.5144322913281,13.675244840213,Decrease,227,0.0278068950269972,1
108,early,middle,eye_open,Right_Occipital,theta,4-8Hz,15.6068549444906,15.4602094371346,Decrease,178,0.423710797166793,0
