Subject,Stage,Event,Region,FrequencyBand,FreqRange_Hz,MeanPower_dB,StdPower_dB,N_Windows
106,early,eye_open,Left_Frontal,alpha,9-13Hz,13.4670627369975,2.4247487300469,24
106,later,eye_open,Left_Frontal,alpha,9-13Hz,12.9636789851319,1.97763048144005,24
106,early,eye_open,Right_Frontal,alpha,9-13Hz,13.3147832481852,1.80795874189043,24
106,later,eye_open,Right_Frontal,alpha,9-13Hz,12.4381259574876,1.81686350428782,24
106,early,eye_open,Left_Temporal,alpha,9-13Hz,13.6574375171997,2.23648885655594,24
106,later,eye_open,Left_Temporal,alpha,9-13Hz,12.6571649346947,2.31526542068819,24
106,early,eye_open,Right_Temporal,alpha,9-13Hz,13.6918651812432,1.76753039288447,24
106,later,eye_open,Right_Temporal,alpha,9-13Hz,12.3072533069791,2.34163526344722,24
106,early,eye_open,Left_Parietal,alpha,9-13Hz,13.7522077384758,2.0037568850345,24
106,later,eye_open,Left_Parietal,alpha,9-13Hz,12.600394215336,2.3700760002748,24
